"examples\\j30.sm\\j3010_1.sm"; 42; 887.6075ms
"examples\\j30.sm\\j3010_10.sm"; 41; 1.0272103s
"examples\\j30.sm\\j3010_2.sm"; 57; 691.5909ms
"examples\\j30.sm\\j3010_3.sm"; 62; 677.1635ms
"examples\\j30.sm\\j3010_4.sm"; 58; 822.2704ms
"examples\\j30.sm\\j3010_5.sm"; 41; 194.2019ms
"examples\\j30.sm\\j3010_6.sm"; 44; 843.7168ms
"examples\\j30.sm\\j3010_7.sm"; 49; 1.0129041s
"examples\\j30.sm\\j3010_8.sm"; 54; 946.8772ms
"examples\\j30.sm\\j3010_9.sm"; 49; 4.2629ms
"examples\\j30.sm\\j3011_1.sm"; 54; 581.1075ms
"examples\\j30.sm\\j3011_10.sm"; 38; 92.126ms
"examples\\j30.sm\\j3011_2.sm"; 56; 95.9412ms
"examples\\j30.sm\\j3011_3.sm"; 81; 19.5018ms
"examples\\j30.sm\\j3011_4.sm"; 63; 670.928ms
"examples\\j30.sm\\j3011_5.sm"; 49; 876.9934ms
"examples\\j30.sm\\j3011_6.sm"; 44; 104.7941ms
"examples\\j30.sm\\j3011_7.sm"; 36; 1.034669s
"examples\\j30.sm\\j3011_8.sm"; 62; 40.1969ms
"examples\\j30.sm\\j3011_9.sm"; 67; 4.5316ms
"examples\\j30.sm\\j3012_1.sm"; 47; 4.1736ms
"examples\\j30.sm\\j3012_10.sm"; 57; 4.0346ms
"examples\\j30.sm\\j3012_2.sm"; 46; 4.4036ms
"examples\\j30.sm\\j3012_3.sm"; 37; 6.7376ms
"examples\\j30.sm\\j3012_4.sm"; 63; 4.2889ms
"examples\\j30.sm\\j3012_5.sm"; 47; 4.4428ms
"examples\\j30.sm\\j3012_6.sm"; 53; 8.0607ms
"examples\\j30.sm\\j3012_7.sm"; 55; 4.0748ms
"examples\\j30.sm\\j3012_8.sm"; 35; 4.4059ms
"examples\\j30.sm\\j3012_9.sm"; 52; 6.8726ms
"examples\\j30.sm\\j3013_1.sm"; 59; 1.1192408s
"examples\\j30.sm\\j3013_10.sm"; 64; 1.6548111s
"examples\\j30.sm\\j3013_2.sm"; 62; 1.3775184s
"examples\\j30.sm\\j3013_3.sm"; 76; 1.3488676s
"examples\\j30.sm\\j3013_4.sm"; 72; 1.0217193s
"examples\\j30.sm\\j3013_5.sm"; 68; 1.2130549s
"examples\\j30.sm\\j3013_6.sm"; 65; 1.0229328s
"examples\\j30.sm\\j3013_7.sm"; 77; 1.0030964s
"examples\\j30.sm\\j3013_8.sm"; 106; 1.0961188s
"examples\\j30.sm\\j3013_9.sm"; 72; 1.0528699s
"examples\\j30.sm\\j3014_1.sm"; 50; 606.7151ms
"examples\\j30.sm\\j3014_10.sm"; 61; 755.5974ms
"examples\\j30.sm\\j3014_2.sm"; 53; 763.3917ms
"examples\\j30.sm\\j3014_3.sm"; 58; 485.7304ms
"examples\\j30.sm\\j3014_4.sm"; 50; 898.4245ms
"examples\\j30.sm\\j3014_5.sm"; 52; 745.1979ms
"examples\\j30.sm\\j3014_6.sm"; 36; 1.300392s
"examples\\j30.sm\\j3014_7.sm"; 50; 1.040972s
"examples\\j30.sm\\j3014_8.sm"; 54; 116.1235ms
"examples\\j30.sm\\j3014_9.sm"; 47; 1.0604707s
"examples\\j30.sm\\j3015_1.sm"; 46; 29.2418ms
"examples\\j30.sm\\j3015_10.sm"; 65; 16.9016ms
"examples\\j30.sm\\j3015_2.sm"; 47; 40.6984ms
"examples\\j30.sm\\j3015_3.sm"; 48; 122.4055ms
"examples\\j30.sm\\j3015_4.sm"; 48; 39.7185ms
"examples\\j30.sm\\j3015_5.sm"; 58; 1.0106925s
"examples\\j30.sm\\j3015_6.sm"; 67; 142.9276ms
"examples\\j30.sm\\j3015_7.sm"; 47; 6.9547ms
"examples\\j30.sm\\j3015_8.sm"; 50; 889.5552ms
"examples\\j30.sm\\j3015_9.sm"; 54; 52.6404ms
"examples\\j30.sm\\j3016_1.sm"; 51; 3.9135ms
"examples\\j30.sm\\j3016_10.sm"; 51; 4.0784ms
"examples\\j30.sm\\j3016_2.sm"; 48; 4.4431ms
"examples\\j30.sm\\j3016_3.sm"; 36; 3.9434ms
"examples\\j30.sm\\j3016_4.sm"; 47; 10.2788ms
"examples\\j30.sm\\j3016_5.sm"; 51; 5.2252ms
"examples\\j30.sm\\j3016_6.sm"; 51; 4.3061ms
"examples\\j30.sm\\j3016_7.sm"; 34; 6.7318ms
"examples\\j30.sm\\j3016_8.sm"; 44; 4.1664ms
"examples\\j30.sm\\j3016_9.sm"; 44; 3.844ms
"examples\\j30.sm\\j3017_1.sm"; 64; 1.2834042s
"examples\\j30.sm\\j3017_10.sm"; 66; 130.8767ms
"examples\\j30.sm\\j3017_2.sm"; 68; 727.3941ms
"examples\\j30.sm\\j3017_3.sm"; 60; 103.3293ms
"examples\\j30.sm\\j3017_4.sm"; 49; 790.3306ms
"examples\\j30.sm\\j3017_5.sm"; 47; 691.1223ms
"examples\\j30.sm\\j3017_6.sm"; 63; 42.0795ms
